series,debut_year,years_since_debut,active_n,cohort_size,survival_pct
Zograf,2004,0,11,11,100.0
Zograf,2004,2,5,11,45.5
Zograf,2004,3,6,11,54.5
Zograf,2004,6,5,11,45.5
Zograf,2004,7,6,11,54.5
Zograf,2004,8,6,11,54.5
Zograf,2004,9,5,11,45.5
Zograf,2004,10,5,11,45.5
Zograf,2004,14,4,11,36.4
Zograf,2004,15,5,11,45.5
Zograf,2004,16,3,11,27.3
Zograf,2004,17,3,11,27.3
Zograf,2004,18,1,11,9.1
Zograf,2004,19,1,11,9.1
Zograf,2004,21,2,11,18.2
Zograf,2004,22,2,11,18.2
Zograf,2006,0,20,20,100.0
Zograf,2006,1,7,20,35.0
Zograf,2006,4,1,20,5.0
Zograf,2006,5,6,20,30.0
Zograf,2006,6,3,20,15.0
Zograf,2006,7,5,20,25.0
Zograf,2006,8,6,20,30.0
Zograf,2006,12,6,20,30.0
Zograf,2006,13,6,20,30.0
Zograf,2006,14,3,20,15.0
Zograf,2006,15,5,20,25.0
Zograf,2006,16,3,20,15.0
Zograf,2006,17,2,20,10.0
Zograf,2006,19,5,20,25.0
Zograf,2006,20,4,20,20.0
Zograf,2007,0,10,10,100.0
Zograf,2007,3,1,10,10.0
Zograf,2007,4,2,10,20.0
Zograf,2007,5,3,10,30.0
Zograf,2007,6,3,10,30.0
Zograf,2007,7,4,10,40.0
Zograf,2007,11,5,10,50.0
Zograf,2007,12,5,10,50.0
Zograf,2007,13,4,10,40.0
Zograf,2007,14,5,10,50.0
Zograf,2007,15,5,10,50.0
Zograf,2007,16,1,10,10.0
Zograf,2007,18,4,10,40.0
Zograf,2007,19,4,10,40.0
Zograf,2010,0,4,4,100.0
Zograf,2010,1,1,4,25.0
Zograf,2010,2,1,4,25.0
Zograf,2010,4,2,4,50.0
Zograf,2010,9,2,4,50.0
Zograf,2010,10,1,4,25.0
Zograf,2010,11,2,4,50.0
Zograf,2010,12,1,4,25.0
Zograf,2010,13,3,4,75.0
Zograf,2010,15,3,4,75.0
Zograf,2010,16,3,4,75.0
Zograf,2011,0,14,14,100.0
Zograf,2011,1,5,14,35.7
Zograf,2011,2,5,14,35.7
Zograf,2011,3,7,14,50.0
Zograf,2011,7,4,14,28.6
Zograf,2011,8,3,14,21.4
Zograf,2011,9,1,14,7.1
Zograf,2011,10,3,14,21.4
Zograf,2011,11,4,14,28.6
Zograf,2011,12,1,14,7.1
Zograf,2011,14,4,14,28.6
Zograf,2011,15,6,14,42.9
Zograf,2012,0,12,12,100.0
Zograf,2012,1,3,12,25.0
Zograf,2012,2,1,12,8.3
Zograf,2012,7,3,12,25.0
Zograf,2012,8,2,12,16.7
Zograf,2012,9,1,12,8.3
Zograf,2012,10,4,12,33.3
Zograf,2012,13,4,12,33.3
Zograf,2012,14,2,12,16.7
Zograf,2013,0,8,8,100.0
Zograf,2013,1,4,8,50.0
Zograf,2013,5,5,8,62.5
Zograf,2013,6,4,8,50.0
Zograf,2013,7,4,8,50.0
Zograf,2013,8,3,8,37.5
Zograf,2013,9,2,8,25.0
Zograf,2013,10,2,8,25.0
Zograf,2013,11,1,8,12.5
Zograf,2013,12,4,8,50.0
Zograf,2013,13,2,8,25.0
Zograf,2014,0,8,8,100.0
Zograf,2014,4,2,8,25.0
Zograf,2014,5,2,8,25.0
Zograf,2014,6,2,8,25.0
Zograf,2014,7,2,8,25.0
Zograf,2014,8,2,8,25.0
Zograf,2014,11,1,8,12.5
Zograf,2014,12,1,8,12.5
Zograf,2018,0,16,16,100.0
Zograf,2018,1,8,16,50.0
Zograf,2018,2,5,16,31.2
Zograf,2018,3,5,16,31.2
Zograf,2018,4,6,16,37.5
Zograf,2018,5,1,16,6.2
Zograf,2018,7,8,16,50.0
Zograf,2018,8,4,16,25.0
Zograf,2019,0,9,9,100.0
Zograf,2019,1,3,9,33.3
Zograf,2019,2,4,9,44.4
Zograf,2019,3,3,9,33.3
Zograf,2019,6,3,9,33.3
Zograf,2019,7,3,9,33.3
Zograf,2020,0,18,18,100.0
Zograf,2020,1,7,18,38.9
Zograf,2020,2,1,18,5.6
Zograf,2020,3,1,18,5.6
Zograf,2020,5,6,18,33.3
Zograf,2020,6,5,18,27.8
Zograf,2021,0,5,5,100.0
Zograf,2021,1,1,5,20.0
Zograf,2022,0,4,4,100.0
Zograf,2022,2,1,4,25.0
Zograf,2022,3,1,4,25.0
Zograf,2023,0,2,2,100.0
Zograf,2025,0,11,11,100.0
Zograf,2025,1,5,11,45.5
Zograf,2026,0,19,19,100.0
Roerich,2010,0,1,1,100.0
Roerich,2010,2,1,1,100.0
Roerich,2010,5,1,1,100.0
Roerich,2010,6,1,1,100.0
Roerich,2010,7,1,1,100.0
Roerich,2012,0,29,29,100.0
Roerich,2012,3,17,29,58.6
Roerich,2012,4,14,29,48.3
Roerich,2012,5,17,29,58.6
Roerich,2012,6,16,29,55.2
Roerich,2012,7,13,29,44.8
Roerich,2012,8,12,29,41.4
Roerich,2012,9,10,29,34.5
Roerich,2012,10,10,29,34.5
Roerich,2012,11,5,29,17.2
Roerich,2012,12,9,29,31.0
Roerich,2012,13,8,29,27.6
Roerich,2015,0,11,11,100.0
Roerich,2015,1,6,11,54.5
Roerich,2015,2,4,11,36.4
Roerich,2015,3,8,11,72.7
Roerich,2015,4,8,11,72.7
Roerich,2015,5,6,11,54.5
Roerich,2015,6,4,11,36.4
Roerich,2015,7,3,11,27.3
Roerich,2015,8,2,11,18.2
Roerich,2015,9,2,11,18.2
Roerich,2015,10,3,11,27.3
Roerich,2016,0,7,7,100.0
Roerich,2016,1,3,7,42.9
Roerich,2016,2,4,7,57.1
Roerich,2016,3,3,7,42.9
Roerich,2016,4,4,7,57.1
Roerich,2016,5,4,7,57.1
Roerich,2016,6,4,7,57.1
Roerich,2016,7,1,7,14.3
Roerich,2016,8,1,7,14.3
Roerich,2016,9,1,7,14.3
Roerich,2017,0,4,4,100.0
Roerich,2017,1,3,4,75.0
Roerich,2017,2,2,4,50.0
Roerich,2017,3,2,4,50.0
Roerich,2017,4,2,4,50.0
Roerich,2017,5,2,4,50.0
Roerich,2017,6,2,4,50.0
Roerich,2017,7,1,4,25.0
Roerich,2017,8,1,4,25.0
Roerich,2018,0,2,2,100.0
Roerich,2018,1,1,2,50.0
Roerich,2018,2,1,2,50.0
Roerich,2018,3,1,2,50.0
Roerich,2018,4,1,2,50.0
Roerich,2018,5,1,2,50.0
Roerich,2018,7,1,2,50.0
Roerich,2019,0,3,3,100.0
Roerich,2019,3,1,3,33.3
Roerich,2019,4,1,3,33.3
Roerich,2019,5,3,3,100.0
Roerich,2019,6,1,3,33.3
Roerich,2020,0,5,5,100.0
Roerich,2020,1,2,5,40.0
Roerich,2020,2,2,5,40.0
Roerich,2020,3,1,5,20.0
Roerich,2020,5,2,5,40.0
Roerich,2021,0,7,7,100.0
Roerich,2021,1,3,7,42.9
Roerich,2021,2,2,7,28.6
Roerich,2021,3,2,7,28.6
Roerich,2023,0,2,2,100.0
Roerich,2023,1,1,2,50.0
Roerich,2024,0,9,9,100.0
Roerich,2024,1,5,9,55.6
Roerich,2025,0,14,14,100.0
