entity_type,entity_id,field_name,field_value,source_type,confidence,checked_at,notes
person,PERS_05d56645,preferred_latin_name,Alexander Babin,authority_ids.json,unspecified,,
person,PERS_0665f215,preferred_latin_name,Vladimir Shokhin,authority_ids.json,unspecified,,
person,PERS_0e0a154e,preferred_latin_name,Lev Titlin,authority_ids.json,unspecified,,
person,PERS_11da326d,preferred_latin_name,Sergey Tavastsherna,authority_ids.json,unspecified,,
person,PERS_12125da9,preferred_latin_name,Victoria Lysenko,authority_ids.json,unspecified,,
person,PERS_1c6fcce5,preferred_latin_name,Elizaveta Kuzina,authority_ids.json,unspecified,,
person,PERS_1fa7cc0c,preferred_latin_name,Alexander Dubyansky,authority_ids.json,unspecified,,
person,PERS_36dabb79,preferred_latin_name,Anastasia Guriya,authority_ids.json,unspecified,,
person,PERS_3b196639,preferred_latin_name,Nikolai Gordiichuk,authority_ids.json,unspecified,,
person,PERS_3c202afd,preferred_latin_name,Rada Krapivina,authority_ids.json,unspecified,,
person,PERS_40862f5e,preferred_latin_name,Natalia Korneeva,authority_ids.json,unspecified,,
person,PERS_41d6aa73,preferred_latin_name,Daria Vorobyeva,authority_ids.json,unspecified,,
person,PERS_50d73711,preferred_latin_name,Anna Smirnitskaya,authority_ids.json,unspecified,,
person,PERS_5228da95,preferred_latin_name,Victoria Vertogradova,authority_ids.json,unspecified,,
person,PERS_58b39545,preferred_latin_name,Evgenia Renkovskaya,authority_ids.json,unspecified,,
person,PERS_61202bf3,preferred_latin_name,Yulia Alikhanova,authority_ids.json,unspecified,,
person,PERS_6ae5c779,preferred_latin_name,Anastasia Fiveyskaya,authority_ids.json,unspecified,,
person,PERS_72506535,preferred_latin_name,Anastasia Krylova,authority_ids.json,unspecified,,
person,PERS_8516d1e4,orcid,0000-0003-2415-4676,authority_ids.json,confirmed,2026-05-21,
person,PERS_8516d1e4,preferred_latin_name,Marcis Gasuns,authority_ids.json,confirmed,2026-05-21,
person,PERS_8516d1e4,samskrtam_ru,https://samskrtam.ru/,authority_ids.json,confirmed,2026-05-21,
person,PERS_8516d1e4,wikidata,Q11111111,authority_ids.json,confirmed,2026-05-21,
person,PERS_8e117242,preferred_latin_name,Ekaterina Yuditskaya,authority_ids.json,unspecified,,
person,PERS_92868e4f,preferred_latin_name,Dmitry Zhutaev,authority_ids.json,unspecified,,
person,PERS_93e2effb,preferred_latin_name,Dmitry Komissarov,authority_ids.json,unspecified,,
person,PERS_9f398436,preferred_latin_name,Leonid Kulikov,authority_ids.json,unspecified,,
person,PERS_aa964a12,wikipedia,"https://ru.wikipedia.org/wiki/Самозванцев,_Андрей_Михайлович",ru.wikipedia.org,manual,2026-05-25,
person,PERS_b4cdbfb8,wikipedia,"https://ru.wikipedia.org/wiki/Эрман,_Владимир_Гансович",ru.wikipedia.org,manual,2026-05-25,
person,PERS_c52dfaa0,preferred_latin_name,Sofia Tsvetkova,authority_ids.json,unspecified,,
person,PERS_cdbd7a15,preferred_latin_name,Sergey Kullanda,ru.wikipedia.org,manual,2026-05-25,
person,PERS_cdbd7a15,wikipedia,"https://ru.wikipedia.org/wiki/Кулланда,_Сергей_Всеволодович",ru.wikipedia.org,manual,2026-05-25,
person,PERS_cfb92c5f,preferred_latin_name,Evgeny Ulansky,authority_ids.json,unspecified,,
person,PERS_d3c5382c,wikipedia,"https://ru.wikipedia.org/wiki/Попова,_Ирина_Фёдоровна",ru.wikipedia.org,manual,2026-05-25,
person,PERS_d98da899,preferred_latin_name,Svetlana Ryzhakova,authority_ids.json,unspecified,,
person,PERS_ddb70dc9,vk,https://vk.com/m.azarkina,vk.com,manual,2026-05-25,
person,PERS_e1dd6b3e,preferred_latin_name,Natalia Lidova,authority_ids.json,unspecified,,
person,PERS_e31ca12d,preferred_latin_name,Olga Vecherina,authority_ids.json,unspecified,,
person,PERS_e5a5ac24,wikipedia,"https://ru.wikipedia.org/wiki/Невелева,_Светлана_Леонидовна",ru.wikipedia.org,manual,2026-05-25,
person,PERS_ebb6d156,preferred_latin_name,Anastasia Lozhkina,authority_ids.json,unspecified,,
person,PERS_efc88709,preferred_latin_name,Natalia Kanaeva,authority_ids.json,unspecified,,
person,PERS_f074f69f,preferred_latin_name,Natalia Alexandrova,authority_ids.json,unspecified,,
person,PERS_f2fef030,preferred_latin_name,Areg Mekhakyan,authority_ids.json,unspecified,,
person,PERS_f5b8b340,preferred_latin_name,Alexey Vigasin,authority_ids.json,unspecified,,
organization,Государственный Эрмитаж,alternateName,"[""The Hermitage""]",authority_ids.json,unspecified,,
organization,Государственный Эрмитаж,full_name_ru,Государственный Эрмитаж,authority_ids.json,unspecified,,
organization,Государственный Эрмитаж,name_en,State Hermitage Museum,authority_ids.json,unspecified,,
organization,Государственный Эрмитаж,url,https://www.hermitagemuseum.org,authority_ids.json,unspecified,,
organization,Государственный Эрмитаж,wikidata,Q132783,authority_ids.json,unspecified,,
organization,ИВ РАН,alternateName,"[""IOS RAS""]",authority_ids.json,unspecified,,
organization,ИВ РАН,full_name_ru,Институт востоковедения Российской академии наук,authority_ids.json,unspecified,,
organization,ИВ РАН,name_en,Institute of Oriental Studies of the Russian Academy of Sciences,authority_ids.json,unspecified,,
organization,ИВ РАН,url,https://www.ivran.ru,authority_ids.json,unspecified,,
organization,ИВ РАН,wikidata,Q1414442,authority_ids.json,unspecified,,
organization,ИВР РАН,alternateName,"[""IOM RAS""]",authority_ids.json,unspecified,,
organization,ИВР РАН,full_name_ru,Институт восточных рукописей Российской академии наук,authority_ids.json,unspecified,,
organization,ИВР РАН,name_en,Institute of Oriental Manuscripts of the Russian Academy of Sciences,authority_ids.json,unspecified,,
organization,ИВР РАН,url,https://www.orientalstudies.ru,authority_ids.json,unspecified,,
organization,ИВР РАН,wikidata,Q1413813,authority_ids.json,unspecified,,
organization,ИФ РАН,alternateName,"[""IPH RAS""]",authority_ids.json,unspecified,,
organization,ИФ РАН,full_name_ru,Институт философии Российской академии наук,authority_ids.json,unspecified,,
organization,ИФ РАН,name_en,"Institute of Philosophy, Russian Academy of Sciences",authority_ids.json,unspecified,,
organization,ИФ РАН,url,https://iphras.ru,authority_ids.json,unspecified,,
organization,ИФ РАН,wikidata,Q4201389,authority_ids.json,unspecified,,
organization,МАЭ РАН,alternateName,"[""Kunstkamera""]",authority_ids.json,unspecified,,
organization,МАЭ РАН,full_name_ru,Музей антропологии и этнографии имени Петра Великого (Кунсткамера) Российской академии наук,authority_ids.json,unspecified,,
organization,МАЭ РАН,name_en,Peter the Great Museum of Anthropology and Ethnography (the Kunstkamera),authority_ids.json,unspecified,,
organization,МАЭ РАН,url,https://www.kunstkamera.ru,authority_ids.json,unspecified,,
organization,МАЭ РАН,wikidata,Q618774,authority_ids.json,unspecified,,
organization,МГУ,alternateName,"[""MSU""]",authority_ids.json,unspecified,,
organization,МГУ,full_name_ru,Московский государственный университет имени М. В. Ломоносова,authority_ids.json,unspecified,,
organization,МГУ,name_en,Lomonosov Moscow State University,authority_ids.json,unspecified,,
organization,МГУ,ror,02drsyg33,authority_ids.json,unspecified,,
organization,МГУ,url,https://www.msu.ru,authority_ids.json,unspecified,,
organization,МГУ,wikidata,Q13164,authority_ids.json,unspecified,,
organization,НИУ ВШЭ,alternateName,"[""Higher School of Economics""]",authority_ids.json,unspecified,,
organization,НИУ ВШЭ,full_name_ru,Национальный исследовательский университет «Высшая школа экономики»,authority_ids.json,unspecified,,
organization,НИУ ВШЭ,name_en,HSE University,authority_ids.json,unspecified,,
organization,НИУ ВШЭ,ror,03p90cg98,authority_ids.json,unspecified,,
organization,НИУ ВШЭ,url,https://www.hse.ru,authority_ids.json,unspecified,,
organization,НИУ ВШЭ,wikidata,Q1340150,authority_ids.json,unspecified,,
organization,РГГУ,alternateName,"[""RSUH""]",authority_ids.json,unspecified,,
organization,РГГУ,full_name_ru,Российский государственный гуманитарный университет,authority_ids.json,unspecified,,
organization,РГГУ,name_en,Russian State University for the Humanities,authority_ids.json,unspecified,,
organization,РГГУ,url,https://www.rsuh.ru,authority_ids.json,unspecified,,
organization,РГГУ,wikidata,Q1056588,authority_ids.json,unspecified,,
organization,СПбГУ,alternateName,"[""SPbU""]",authority_ids.json,unspecified,,
organization,СПбГУ,full_name_ru,Санкт-Петербургский государственный университет,authority_ids.json,unspecified,,
organization,СПбГУ,name_en,Saint Petersburg State University,authority_ids.json,unspecified,,
organization,СПбГУ,ror,00k2yeb14,authority_ids.json,unspecified,,
organization,СПбГУ,url,https://spbu.ru,authority_ids.json,unspecified,,
organization,СПбГУ,wikidata,Q27621,authority_ids.json,unspecified,,
